,blockG,BE_H,CA_H,DA_H,JU_H,MN_H,SL_H,SU_H,TU_H,WA_H,WB_H,TTL_H,BE_W,CA_W,DA_W,JU_W,MN_W,SL_W,SU_W,TU_W,WA_W,WB_W,TTL_W
189,111258042,1.0,0.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,2,1,121,0,1,126,1,4,2,73,344
190,111258043,2.0,0.0,75.0,0.0,3.0,3.0,1.0,2.0,0.0,20.0,110.0,5,15,330,0,1,309,5,2,1,167,884
191,111258044,14.0,10.0,342.0,0.0,25.0,60.0,7.0,9.0,3.0,181.0,685.0,5,7,186,0,2,166,0,2,1,103,504
192,111258051,65.0,145.0,2045.0,6.0,36.0,587.0,35.0,46.0,16.0,974.0,4324.0,1,4,216,0,1,155,3,1,0,91,496
193,111258052,5.0,21.0,219.0,0.0,5.0,64.0,3.0,4.0,2.0,109.0,480.0,10,15,475,0,4,376,4,2,2,229,1176
194,111258053,3.0,10.0,143.0,0.0,3.0,48.0,1.0,5.0,5.0,79.0,315.0,5,9,430,1,2,378,6,6,1,173,1058
195,111258071,7.0,8.0,302.0,0.0,5.0,31.0,4.0,6.0,4.0,115.0,510.0,4,9,417,0,3,310,8,4,1,181,977
196,111258072,7.0,3.0,95.0,0.0,3.0,24.0,0.0,1.0,1.0,60.0,212.0,1,5,166,0,0,137,4,3,1,88,424
197,111258081,39.0,45.0,458.0,0.0,3.0,145.0,8.0,35.0,6.0,335.0,1172.0,16,10,434,0,3,348,3,4,1,253,1121
198,111258082,36.0,43.0,905.0,1.0,20.0,185.0,8.0,33.0,13.0,521.0,1851.0,11,14,445,0,1,403,8,5,4,288,1236
199,111258083,38.0,33.0,725.0,0.0,16.0,156.0,5.0,25.0,8.0,529.0,1608.0,7,5,203,0,1,105,2,6,2,117,471
200,111259051,3.0,2.0,131.0,0.0,3.0,18.0,9.0,5.0,0.0,45.0,231.0,3,9,249,0,2,213,0,3,0,98,601
201,111259052,8.0,4.0,173.0,0.0,2.0,27.0,0.0,1.0,1.0,65.0,289.0,7,6,217,0,3,183,5,3,1,91,542
202,111259053,3.0,3.0,260.0,0.0,1.0,19.0,4.0,3.0,0.0,80.0,389.0,7,8,330,2,3,231,5,3,1,139,771
203,111259054,10.0,6.0,171.0,0.0,0.0,21.0,1.0,3.0,0.0,53.0,283.0,5,12,378,0,3,256,3,5,2,149,863
204,111259061,2.0,1.0,82.0,0.0,0.0,11.0,0.0,0.0,0.0,24.0,133.0,14,16,619,0,3,462,5,3,5,225,1426
205,111259062,7.0,11.0,189.0,0.0,3.0,65.0,1.0,3.0,3.0,89.0,402.0,8,14,494,0,2,422,1,7,3,185,1192
206,111259063,2.0,3.0,175.0,0.0,3.0,32.0,2.0,7.0,2.0,51.0,305.0,7,12,266,0,3,203,1,1,1,93,620
207,111259071,8.0,10.0,321.0,0.0,7.0,49.0,2.0,4.0,1.0,116.0,549.0,6,16,396,0,1,389,10,5,0,216,1089
208,111259081,5.0,3.0,49.0,0.0,0.0,22.0,1.0,0.0,0.0,8.0,103.0,10,8,370,0,2,339,3,3,1,213,988
209,111259082,1.0,1.0,19.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,34.0,5,10,256,0,2,221,1,5,2,110,638
210,111259083,2.0,2.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,39.0,1,8,233,0,2,220,4,3,1,134,631
211,111260011,73.0,83.0,1275.0,1.0,24.0,400.0,22.0,43.0,15.0,648.0,2800.0,3,14,245,0,1,192,6,2,1,94,591
212,111260012,6.0,10.0,226.0,1.0,4.0,41.0,0.0,3.0,2.0,80.0,390.0,6,2,339,1,4,252,3,4,0,139,777
213,111260013,16.0,18.0,433.0,0.0,5.0,68.0,2.0,2.0,0.0,138.0,719.0,3,3,142,0,3,113,0,2,0,65,347
214,111260014,1.0,2.0,18.0,0.0,0.0,7.0,1.0,1.0,1.0,9.0,46.0,4,6,314,0,4,183,1,4,0,119,665
215,111260021,5.0,15.0,302.0,0.0,5.0,73.0,4.0,4.0,2.0,96.0,525.0,11,16,807,0,9,558,6,7,4,278,1771
216,111260022,72.0,140.0,1563.0,3.0,24.0,523.0,27.0,32.0,28.0,776.0,3451.0,7,14,476,0,3,382,8,2,1,176,1114
217,111261011,34.0,40.0,1552.0,0.0,14.0,167.0,13.0,15.0,6.0,401.0,2342.0,4,20,396,0,1,299,2,5,3,116,894
218,111261012,6.0,11.0,411.0,1.0,5.0,23.0,1.0,2.0,1.0,74.0,541.0,12,8,285,0,3,219,4,5,0,101,675
219,111261013,0.0,0.0,54.0,0.0,0.0,7.0,0.0,1.0,1.0,8.0,71.0,7,7,240,0,1,192,3,2,2,91,581
220,111261014,0.0,0.0,69.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,83.0,6,8,233,1,1,198,1,0,2,65,537
221,111261041,4.0,6.0,186.0,0.0,2.0,56.0,0.0,12.0,1.0,40.0,326.0,5,19,650,0,2,673,13,4,5,91,1552
222,111261042,52.0,38.0,1331.0,3.0,20.0,368.0,24.0,59.0,13.0,465.0,2540.0,7,17,835,2,3,880,17,8,2,122,1989
223,111261043,8.0,5.0,234.0,0.0,4.0,44.0,1.0,10.0,1.0,55.0,381.0,6,14,751,0,3,816,10,8,2,83,1777
224,111261051,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,24.0,3,7,471,0,0,476,7,7,6,63,1089
225,111261052,0.0,1.0,61.0,0.0,2.0,6.0,1.0,1.0,0.0,11.0,84.0,2,12,320,0,0,343,10,2,2,50,775
226,111261053,2.0,4.0,88.0,0.0,2.0,4.0,1.0,0.0,0.0,8.0,113.0,0,8,257,0,0,317,4,4,0,39,667
227,111261054,0.0,2.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,41.0,3,5,268,0,0,311,3,6,3,45,684
228,111262021,37.0,77.0,2025.0,0.0,35.0,900.0,39.0,70.0,23.0,517.0,4037.0,6,27,1517,0,12,1929,23,13,3,211,3913
229,111262022,10.0,7.0,225.0,0.0,3.0,83.0,7.0,3.0,1.0,59.0,435.0,3,9,264,0,2,389,8,5,3,33,746
230,111262031,13.0,13.0,644.0,0.0,14.0,129.0,1.0,5.0,2.0,172.0,1039.0,2,14,441,0,6,559,4,6,2,77,1168
231,111262032,7.0,6.0,181.0,0.0,2.0,40.0,1.0,2.0,0.0,47.0,300.0,3,14,306,1,3,412,10,4,0,40,825
232,111262041,1.0,0.0,113.0,0.0,3.0,32.0,1.0,3.0,2.0,17.0,179.0,1,13,322,0,0,449,6,4,0,47,876
233,111262042,14.0,21.0,1765.0,0.0,12.0,134.0,6.0,12.0,3.0,242.0,2222.0,0,6,154,1,0,259,1,1,0,24,478
234,111262043,10.0,8.0,650.0,0.0,10.0,108.0,6.0,5.0,0.0,84.0,909.0,0,12,338,0,1,433,13,2,0,42,868
235,111263031,1.0,1.0,66.0,0.0,1.0,40.0,0.0,1.0,1.0,11.0,126.0,2,16,509,1,0,660,12,4,2,68,1335
236,111263032,0.0,2.0,42.0,0.0,0.0,16.0,1.0,0.0,0.0,5.0,73.0,0,15,291,0,0,381,12,5,2,50,805
237,111263041,27.0,27.0,1086.0,0.0,15.0,533.0,12.0,26.0,9.0,234.0,2128.0,2,13,355,0,0,538,8,2,3,52,1013
238,111263042,1.0,5.0,114.0,0.0,1.0,39.0,2.0,5.0,0.0,13.0,184.0,0,11,430,1,1,610,8,7,2,55,1184
239,111263043,1.0,6.0,105.0,0.0,0.0,33.0,0.0,6.0,0.0,18.0,176.0,0,8,310,0,0,418,12,4,0,48,842
240,111263051,1.0,0.0,46.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,53.0,4,9,356,0,3,558,2,4,4,57,1058
241,111263061,21.0,33.0,688.0,1.0,5.0,274.0,15.0,15.0,11.0,153.0,1312.0,7,15,372,0,0,589,10,3,3,47,1106
242,111263062,19.0,39.0,725.0,0.0,7.0,378.0,11.0,30.0,14.0,177.0,1520.0,3,17,352,0,2,544,7,7,2,52,1044
243,111263063,3.0,6.0,183.0,0.0,0.0,33.0,3.0,6.0,3.0,22.0,268.0,4,9,403,0,3,574,6,8,2,52,1116
244,111264021,0.0,1.0,48.0,0.0,0.0,15.0,0.0,1.0,1.0,6.0,73.0,0,10,226,0,0,314,5,4,1,35,626
245,111264022,0.0,1.0,93.0,0.0,1.0,23.0,1.0,1.0,0.0,8.0,137.0,3,16,310,1,1,457,4,6,2,55,907
246,111264041,8.0,3.0,145.0,0.0,0.0,68.0,5.0,3.0,4.0,22.0,277.0,5,28,565,0,2,1495,18,9,4,130,2397
247,111264042,9.0,8.0,143.0,0.0,0.0,89.0,2.0,1.0,1.0,20.0,295.0,0,5,172,0,1,480,6,1,0,36,733
248,111264051,0.0,0.0,28.0,0.0,0.0,13.0,0.0,2.0,0.0,4.0,53.0,1,8,190,0,1,456,5,1,1,34,739
249,111264052,2.0,0.0,55.0,0.0,0.0,24.0,0.0,5.0,0.0,3.0,94.0,10,8,242,1,1,631,3,3,3,59,1032
250,111264061,1.0,2.0,58.0,0.0,0.0,33.0,0.0,2.0,0.0,13.0,112.0,0,10,294,1,0,540,8,3,2,56,967
251,111264062,4.0,2.0,165.0,0.0,0.0,67.0,1.0,0.0,5.0,14.0,268.0,2,17,315,0,1,655,4,13,1,60,1111
252,111265001,0.0,0.0,25.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,40.0,1,1,171,0,2,252,4,3,3,23,484
253,111265002,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0,2,5,169,1,1,281,6,2,1,25,526
254,111265003,0.0,0.0,18.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,30.0,3,7,127,0,1,189,2,0,2,19,364
255,111265004,15.0,16.0,1064.0,0.0,11.0,326.0,12.0,12.0,1.0,226.0,1794.0,3,10,211,0,1,360,5,2,0,45,683
256,111265005,0.0,1.0,57.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,75.0,2,8,233,0,2,408,8,4,1,40,745
257,111266001,5.0,10.0,238.0,0.0,1.0,46.0,1.0,3.0,1.0,39.0,360.0,2,14,317,0,0,498,5,3,1,47,933
258,111266002,3.0,7.0,175.0,0.0,0.0,41.0,0.0,2.0,0.0,18.0,263.0,4,13,318,0,0,479,7,5,1,46,915
259,111266003,7.0,13.0,586.0,0.0,5.0,108.0,6.0,3.0,2.0,42.0,796.0,0,4,215,0,2,356,7,3,1,26,632
260,111267001,13.0,39.0,567.0,1.0,4.0,323.0,8.0,13.0,2.0,121.0,1208.0,2,6,244,0,1,435,3,3,0,28,757
261,111267002,11.0,45.0,748.0,1.0,11.0,437.0,14.0,26.0,15.0,150.0,1630.0,0,5,106,0,2,254,2,1,0,25,413
262,111267003,7.0,8.0,224.0,1.0,6.0,125.0,2.0,3.0,1.0,52.0,455.0,0,5,156,0,1,266,2,3,2,18,477
263,111267004,4.0,9.0,211.0,1.0,5.0,102.0,3.0,3.0,4.0,33.0,409.0,0,3,108,0,0,190,1,3,1,26,353
264,111268011,1.0,0.0,17.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,28.0,1,5,156,0,0,284,7,4,0,21,515
265,111268012,1.0,1.0,86.0,0.0,2.0,16.0,1.0,0.0,0.0,7.0,118.0,1,3,125,0,1,247,6,4,1,28,437
266,111268013,2.0,0.0,93.0,0.0,0.0,17.0,3.0,0.0,0.0,9.0,126.0,2,4,192,0,0,319,6,1,2,25,579
267,111268021,0.0,0.0,21.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,33.0,3,13,235,0,0,427,5,4,1,36,754
268,111268022,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,1,4,184,0,0,307,4,2,0,32,562
269,111268023,1.0,0.0,117.0,0.0,1.0,26.0,2.0,0.0,0.0,6.0,163.0,5,11,313,0,0,497,7,3,6,57,945
270,111269011,4.0,4.0,210.0,0.0,6.0,56.0,2.0,0.0,3.0,30.0,325.0,3,4,167,0,0,322,2,0,1,26,551
271,111269012,0.0,0.0,24.0,0.0,2.0,9.0,0.0,0.0,0.0,3.0,39.0,2,3,132,0,0,225,2,2,0,22,404
272,111269013,5.0,1.0,123.0,0.0,0.0,51.0,0.0,5.0,0.0,19.0,215.0,0,4,145,0,1,276,3,1,2,29,482
273,111269014,12.0,22.0,468.0,0.0,3.0,300.0,4.0,14.0,3.0,87.0,980.0,0,3,98,0,0,197,5,0,0,24,344
274,111269015,12.0,13.0,477.0,0.0,2.0,257.0,7.0,8.0,12.0,84.0,934.0,1,7,156,0,0,376,6,3,1,34,610
275,111269016,22.0,55.0,1047.0,0.0,8.0,618.0,13.0,22.0,11.0,189.0,2145.0,1,2,127,0,0,226,5,1,1,23,408
276,111269021,1.0,4.0,77.0,0.0,0.0,18.0,0.0,1.0,0.0,5.0,114.0,4,9,211,0,1,396,4,3,0,22,694
277,111269022,3.0,2.0,128.0,0.0,0.0,55.0,1.0,2.0,0.0,19.0,225.0,1,9,171,0,1,343,6,3,2,32,597
278,111269023,12.0,27.0,686.0,0.0,4.0,280.0,10.0,18.0,1.0,94.0,1202.0,4,16,340,0,2,659,7,6,2,53,1154
279,111269024,0.0,0.0,55.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,67.0,1,7,208,0,0,322,2,3,0,25,599
280,111270021,158.0,229.0,4094.0,7.0,55.0,5369.0,80.0,390.0,78.0,1506.0,13506.0,7,25,688,0,0,1800,20,10,9,135,2835
281,111270022,7.0,11.0,161.0,0.0,7.0,168.0,3.0,31.0,0.0,69.0,520.0,2,6,139,0,0,384,2,3,0,22,582
282,111270031,0.0,2.0,92.0,0.0,2.0,64.0,1.0,3.0,0.0,18.0,198.0,4,16,562,0,0,895,11,10,0,68,1620
283,111270032,8.0,19.0,737.0,1.0,12.0,434.0,9.0,40.0,5.0,115.0,1492.0,4,15,600,0,0,1040,5,15,2,56,1804
284,111270041,28.0,24.0,660.0,0.0,8.0,442.0,15.0,41.0,11.0,116.0,1486.0,5,13,645,0,2,1160,14,6,2,120,2056
285,111270042,3.0,5.0,216.0,0.0,5.0,139.0,6.0,13.0,5.0,43.0,474.0,5,24,361,0,0,595,5,5,1,50,1102
286,111270043,1.0,1.0,178.0,0.0,1.0,76.0,2.0,2.0,1.0,28.0,340.0,1,6,124,0,1,213,3,1,1,21,390
287,111270044,1.0,1.0,76.0,0.0,0.0,48.0,0.0,2.0,2.0,11.0,150.0,4,5,145,0,0,229,1,2,0,17,430
288,111271001,6.0,15.0,448.0,1.0,3.0,52.0,2.0,4.0,1.0,89.0,650.0,2,5,301,0,3,316,8,8,2,40,718
289,111271002,7.0,8.0,262.0,0.0,4.0,27.0,3.0,2.0,1.0,66.0,405.0,1,9,271,0,1,350,7,1,2,56,741
290,111271003,7.0,14.0,227.0,0.0,2.0,45.0,7.0,4.0,2.0,72.0,412.0,1,8,160,0,0,196,3,1,2,24,420
291,111271004,7.0,5.0,460.0,0.0,9.0,48.0,5.0,4.0,0.0,92.0,643.0,0,10,223,0,2,263,1,0,2,31,565
292,111271005,4.0,3.0,146.0,0.0,0.0,24.0,0.0,2.0,3.0,31.0,222.0,1,6,291,0,1,359,6,3,1,35,746
293,139403001,1.0,3.0,2.0,1.0,0.0,22.0,2.0,2.0,1.0,2.0,156.0,1,6,16,0,0,60,9,3,8,8,454
294,139403002,3.0,15.0,14.0,0.0,0.0,115.0,7.0,8.0,12.0,15.0,862.0,0,3,10,0,0,35,8,3,5,6,324
295,139403003,0.0,5.0,5.0,0.0,0.0,18.0,1.0,2.0,2.0,2.0,159.0,0,2,10,0,0,42,5,0,1,5,330
296,139405001,1.0,2.0,10.0,5.0,1.0,26.0,4.0,2.0,12.0,4.0,570.0,1,10,16,1,0,93,1,1,3,16,1208
297,139405002,4.0,13.0,17.0,1.0,1.0,49.0,9.0,5.0,5.0,14.0,1328.0,3,6,11,1,0,72,1,2,1,11,774
298,139405003,1.0,2.0,7.0,1.0,0.0,24.0,2.0,2.0,12.0,5.0,659.0,2,12,9,1,0,73,5,0,1,11,787
299,139405004,4.0,8.0,7.0,1.0,0.0,31.0,8.0,3.0,10.0,8.0,1253.0,3,15,21,1,1,75,2,1,5,15,1160
300,139406001,7.0,6.0,8.0,0.0,1.0,30.0,2.0,1.0,6.0,6.0,651.0,1,7,11,0,0,44,2,1,1,4,327
301,139406002,2.0,19.0,10.0,0.0,0.0,31.0,2.0,2.0,10.0,3.0,868.0,3,10,8,0,0,63,3,1,5,11,635
302,139406003,0.0,5.0,2.0,0.0,0.0,14.0,4.0,2.0,4.0,2.0,297.0,2,8,17,0,0,55,0,1,7,10,570
303,139406004,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,160.0,0,5,4,0,0,31,2,1,2,8,324
304,139406005,1.0,2.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,3.0,213.0,1,2,8,0,0,25,0,0,2,7,284
305,159762001,3.0,1.0,9.0,3.0,0.0,34.0,5.0,4.0,5.0,5.0,470.0,0,7,8,1,0,31,2,1,0,5,279
306,159762002,0.0,1.0,1.0,0.0,0.0,6.0,1.0,4.0,0.0,2.0,113.0,1,0,6,0,0,27,2,1,1,5,184
307,159762003,1.0,4.0,3.0,0.0,0.0,25.0,0.0,1.0,2.0,4.0,301.0,2,3,3,1,0,55,1,3,3,8,283
308,159762004,2.0,2.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,145.0,1,7,8,1,0,40,2,0,2,8,310
309,159763001,4.0,8.0,14.0,6.0,3.0,57.0,5.0,4.0,4.0,6.0,829.0,3,9,7,1,0,65,2,1,4,12,471
310,159763002,0.0,2.0,5.0,0.0,1.0,18.0,2.0,0.0,0.0,3.0,246.0,1,9,1,1,0,64,4,0,1,15,468
311,159765001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1,2,9,0,0,36,1,0,2,2,347
312,159765002,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,170.0,1,2,1,0,0,44,1,0,2,4,346
313,159765003,0.0,0.0,5.0,6.0,2.0,15.0,2.0,1.0,3.0,3.0,731.0,1,4,8,0,0,35,1,0,2,6,365
314,170003001,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,258.0,1,4,4,0,0,36,0,1,0,10,336
315,170003002,0.0,2.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,2.0,327.0,1,1,5,0,0,55,0,1,4,4,473
316,170004001,0.0,0.0,3.0,0.0,0.0,19.0,2.0,0.0,0.0,1.0,493.0,0,4,5,1,0,45,2,1,3,4,520
317,170004002,0.0,0.0,8.0,2.0,0.0,31.0,1.0,0.0,0.0,3.0,688.0,2,3,4,3,0,64,4,0,1,5,603
318,190002001,1.0,5.0,8.0,0.0,0.0,21.0,2.0,2.0,1.0,5.0,655.0,0,1,8,1,0,37,6,1,2,2,558
319,190002002,1.0,6.0,7.0,0.0,0.0,23.0,6.0,3.0,4.0,2.0,851.0,0,1,4,3,2,40,12,0,3,6,766
320,190002003,0.0,2.0,1.0,1.0,0.0,9.0,2.0,2.0,1.0,1.0,182.0,0,1,4,0,0,47,12,2,2,7,739
321,190002004,4.0,15.0,25.0,2.0,1.0,78.0,13.0,8.0,12.0,17.0,2261.0,0,0,0,1,0,44,12,1,4,4,656
322,190003001,0.0,0.0,1.0,0.0,0.0,20.0,3.0,0.0,6.0,1.0,537.0,0,4,7,1,0,71,8,1,3,2,935
323,190003002,0.0,0.0,1.0,0.0,0.0,17.0,3.0,0.0,3.0,1.0,448.0,0,1,13,2,0,62,8,1,1,0,678
324,190003003,0.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,307.0,0,6,11,0,0,73,6,1,1,2,1049
325,211101001,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,85.0,0,0,2,0,0,23,0,1,1,7,203
326,211101002,2.0,5.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,259.0,0,2,5,0,0,44,5,2,1,5,454
327,211101003,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,272.0,1,0,7,2,0,34,3,1,0,6,415
328,211101004,5.0,1.0,5.0,0.0,0.0,12.0,0.0,2.0,1.0,5.0,394.0,1,0,2,0,0,5,0,0,0,1,78
329,211102001,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,137.0,4,3,5,2,0,48,1,5,0,0,630
330,211102002,0.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,149.0,0,6,9,0,0,46,1,6,1,4,671
331,211102003,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,193.0,1,8,14,0,0,92,2,5,2,11,1176
332,211102004,0.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,199.0,0,5,9,0,0,92,2,4,2,11,1115
333,211103001,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,892.0,1,5,8,1,0,66,2,1,2,7,892
334,211103002,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,435.0,1,3,10,1,0,51,3,1,1,4,620
335,211104001,2.0,8.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1684.0,1,1,12,1,0,41,0,1,0,2,374
336,211104002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,8,4,1,0,29,2,1,0,7,527
337,211104003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,2,2,3,0,0,26,1,2,0,4,272
338,211104004,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,300.0,3,3,7,4,0,55,2,1,1,4,589
339,211105001,4.0,4.0,5.0,3.0,1.0,27.0,2.0,4.0,3.0,1.0,812.0,0,6,21,1,1,73,3,4,1,9,1104
340,211105002,8.0,14.0,6.0,7.0,2.0,28.0,8.0,13.0,1.0,15.0,1599.0,1,3,12,0,0,71,4,5,4,6,1021
341,211105003,2.0,2.0,7.0,1.0,0.0,16.0,2.0,4.0,1.0,3.0,795.0,1,12,19,0,0,109,2,2,1,17,1751
342,211105004,4.0,5.0,9.0,5.0,0.0,18.0,3.0,2.0,4.0,6.0,889.0,0,1,3,0,0,51,4,4,0,7,613
343,211106001,2.0,3.0,9.0,1.0,0.0,23.0,2.0,3.0,2.0,4.0,839.0,1,4,4,0,0,30,0,0,2,5,436
344,211106002,4.0,3.0,13.0,4.0,1.0,16.0,3.0,2.0,0.0,10.0,962.0,0,3,2,0,0,42,2,0,0,5,505
345,211106003,5.0,6.0,6.0,0.0,1.0,14.0,1.0,5.0,0.0,1.0,638.0,4,9,16,1,0,108,1,1,2,12,1460
346,211106004,4.0,6.0,8.0,2.0,0.0,15.0,4.0,1.0,2.0,4.0,678.0,0,0,3,0,0,23,0,0,0,2,379
347,211107011,2.0,8.0,0.0,7.0,0.0,54.0,1.0,2.0,1.0,0.0,1845.0,2,4,12,1,1,61,1,0,0,7,904
348,211107012,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,259.0,1,9,21,1,1,121,3,4,1,18,1904
349,211107013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1,3,7,0,0,43,1,0,1,2,530
350,211107021,0.0,0.0,0.0,1.0,1.0,14.0,4.0,0.0,0.0,0.0,442.0,0,2,7,0,0,34,0,0,0,4,568
351,211107022,0.0,0.0,0.0,3.0,3.0,51.0,8.0,0.0,3.0,0.0,1893.0,2,10,11,1,0,116,2,3,2,15,1642
352,230101001,4.0,6.0,1.0,214.0,0.0,21.0,5.0,3.0,1.0,0.0,352.0,0,7,7,492,0,105,0,8,0,6,1075
353,230101002,4.0,8.0,8.0,684.0,0.0,31.0,2.0,3.0,4.0,8.0,1061.0,1,5,4,321,0,64,2,3,1,4,703
354,230101003,1.0,10.0,5.0,557.0,0.0,26.0,3.0,5.0,3.0,3.0,792.0,0,1,3,348,0,68,1,1,1,2,742
355,230101004,2.0,3.0,0.0,83.0,0.0,5.0,0.0,1.0,0.0,0.0,124.0,1,2,5,305,0,58,1,8,0,7,635
356,230102001,0.0,3.0,1.0,63.0,0.0,16.0,1.0,11.0,2.0,1.0,157.0,0,4,3,93,1,44,2,2,0,2,283
357,230102002,2.0,4.0,11.0,253.0,0.0,80.0,4.0,10.0,6.0,10.0,698.0,0,9,15,294,0,101,2,13,4,5,853
358,230102003,1.0,0.0,5.0,119.0,0.0,24.0,3.0,5.0,1.0,2.0,235.0,1,2,1,120,1,45,1,6,2,4,341
359,251301001,0.0,0.0,6.0,0.0,1.0,18.0,1.0,0.0,0.0,4.0,305.0,0,1,7,0,0,27,2,0,1,3,202
360,251301002,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,61.0,0,1,4,0,0,20,3,0,0,1,159
361,251301003,0.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,223.0,0,1,4,1,0,14,0,0,0,4,224
362,251302001,0.0,4.0,0.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,406.0,0,4,11,0,0,43,0,0,1,8,811
363,251302002,2.0,3.0,0.0,7.0,0.0,20.0,1.0,3.0,2.0,0.0,974.0,1,1,4,0,0,25,0,0,0,0,340
364,251302003,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,76.0,0,2,3,0,0,45,4,0,0,1,552
365,251302004,1.0,6.0,0.0,2.0,0.0,41.0,1.0,1.0,0.0,0.0,744.0,0,4,8,0,1,45,1,0,0,5,686
366,279741001,2.0,2.0,3.0,27.0,0.0,16.0,0.0,2.0,0.0,2.0,602.0,2,5,13,10,0,52,1,5,4,8,566
367,279741002,2.0,1.0,5.0,8.0,0.0,16.0,1.0,1.0,0.0,2.0,363.0,2,3,6,4,0,45,2,1,0,4,405
368,279741003,3.0,9.0,4.0,16.0,0.0,30.0,2.0,6.0,4.0,3.0,859.0,0,4,4,11,0,62,0,1,3,5,614
369,279741004,0.0,2.0,2.0,6.0,1.0,20.0,1.0,2.0,3.0,0.0,485.0,1,1,2,7,0,55,2,0,3,3,443
370,279742001,0.0,1.0,1.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,162.0,1,1,10,5,0,41,1,3,2,4,411
371,279742002,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1,1,2,8,0,45,0,0,2,6,422
372,279742003,1.0,2.0,2.0,4.0,1.0,5.0,0.0,2.0,0.0,1.0,273.0,1,1,6,2,0,47,2,0,1,1,387
373,279743001,0.0,1.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,112.0,0,3,6,4,0,36,3,1,1,2,346
374,279743002,1.0,3.0,2.0,1.0,0.0,28.0,1.0,2.0,1.0,2.0,371.0,2,3,2,3,0,42,0,0,2,3,539
375,279743003,0.0,4.0,5.0,3.0,4.0,27.0,2.0,3.0,1.0,2.0,678.0,1,3,9,6,0,61,0,1,0,9,674
376,279743004,2.0,3.0,1.0,7.0,2.0,24.0,4.0,1.0,1.0,1.0,522.0,1,5,5,3,0,47,1,3,2,0,470
377,299701001,12.0,18.0,128.0,0.0,300.0,53.0,31.0,4.0,8.0,132.0,704.0,10,32,228,0,349,368,36,4,4,331,1480
378,299701002,9.0,19.0,94.0,2.0,477.0,23.0,17.0,9.0,3.0,117.0,793.0,14,24,179,0,307,317,40,3,8,270,1245
379,299701003,10.0,13.0,78.0,0.0,242.0,35.0,11.0,1.0,5.0,91.0,507.0,10,16,131,0,172,170,28,8,1,180,774
